Subject,Start Date,Start Time,End Date,End Time,Location
02 January 2020,1-01-20,20:00,1-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-264.png
03 January 2020,2-01-20,20:00,2-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-265.png
04 January 2020,3-01-20,20:00,3-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-266.png
05 January 2020,4-01-20,20:00,4-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-267.png
06 January 2020,5-01-20,20:00,5-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-268.png
07 January 2020,6-01-20,20:00,6-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-269.png
08 January 2020,7-01-20,20:00,7-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-270.png
09 January 2020,8-01-20,20:00,8-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-271.png
10 January 2020,9-01-20,20:00,9-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-272.png
11 January 2020,10-01-20,20:00,10-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-273.png
12 January 2020,11-01-20,20:00,11-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-274.png
13 January 2020,12-01-20,20:00,12-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-275.png
14 January 2020,13-01-20,20:00,13-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-276.png
15 January 2020,14-01-20,20:00,14-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-277.png
16 January 2020,15-01-20,20:00,15-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-278.png
17 January 2020,16-01-20,20:00,16-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-279.png
18 January 2020,17-01-20,20:00,17-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-280.png
19 January 2020,18-01-20,20:00,18-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-281.png
20 January 2020,19-01-20,20:00,19-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-282.png
21 January 2020,20-01-20,20:00,20-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-283.png
22 January 2020,21-01-20,20:00,21-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-284.png
23 January 2020,22-01-20,20:00,22-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-285.png
24 January 2020,23-01-20,20:00,23-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-286.png
25 January 2020,24-01-20,20:00,24-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-287.png
26 January 2020,25-01-20,20:00,25-01-20,20:30,https://github.com/karthikraman/panchangam/raw/master/png/Chennai-5120/Chennai-5120-vikArI-daily-288.png
